Name;spectrum_20140711_1648520.csv;spectrum_20140711_1648538.csv;spectrum_20140711_1648545.csv;spectrum_20140711_1648551.csv;spectrum_20140711_1648554.csv;spectrum_20140711_1649482.csv;spectrum_20140711_1649491.csv;spectrum_20140711_1649508.csv;spectrum_20140711_1649516.csv;spectrum_20140711_1649523.csv;spectrum_20140711_1650098.csv;spectrum_20140711_1650106.csv;spectrum_20140711_1650113.csv;spectrum_20140711_1650232.csv;spectrum_20140711_1650241.csv;spectrum_20140711_1650289.csv;spectrum_20140711_1650298.csv;spectrum_20140711_1650306.csv;spectrum_20140711_1650312.csv;spectrum_20140711_1650314.csv;spectrum_20140711_1650511.csv;spectrum_20140711_1650522.csv;spectrum_20140711_1650530.csv;spectrum_20140711_1650599.csv;spectrum_20140711_1651047.csv;spectrum_20140711_1651092.csv;spectrum_20140711_1651102.csv;spectrum_20140711_1651199.csv;spectrum_20140711_1651215.csv;spectrum_20140711_1651264.csv;spectrum_20140711_1651297.csv;spectrum_20140711_1651305.csv;spectrum_20140711_1651314.csv;spectrum_20140711_1651323.csv
Time;20140711_1648520;20140711_1648538;20140711_1648545;20140711_1648551;20140711_1648554;20140711_1649482;20140711_1649491;20140711_1649508;20140711_1649516;20140711_1649523;20140711_1650098;20140711_1650106;20140711_1650113;20140711_1650232;20140711_1650241;20140711_1650289;20140711_1650298;20140711_1650306;20140711_1650312;20140711_1650314;20140711_1650511;20140711_1650522;20140711_1650530;20140711_1650599;20140711_1651047;20140711_1651092;20140711_1651102;20140711_1651199;20140711_1651215;20140711_1651264;20140711_1651297;20140711_1651305;20140711_1651314;20140711_1651323
IT;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788
751.84;0.11969324;0.11628285;0.07741135;0.43613905;0.43558246;0.18326144;0.30249935;0.37461463;0.348833;0.37496248;0.40036893;0.40850198;0.23674828;0.265713;0.45962965;0.5008785;0.44384065;0.41948798;0.47167867;0.4732628;0.51828444;0.4724244;0.45683262;0.47609895;0.28062692;0.39824444;0.41949052;0.45526212;0.43489107;0.42756778;0.3882141;0.23796766;0.4421651;0.41329902
752.33;0.1188808;0.115416236;0.07576775;0.43431157;0.43420067;0.18229945;0.3003574;0.37477422;0.3481618;0.37496728;0.3996499;0.40785956;0.23631302;0.26528895;0.46083242;0.50108093;0.4444706;0.42135227;0.47356954;0.47381437;0.5209407;0.4745193;0.45979995;0.4767864;0.28031877;0.40009618;0.421074;0.4584909;0.43706942;0.4263326;0.3886632;0.23736636;0.44300115;0.41298002
752.82;0.11956329;0.11626039;0.076512456;0.4364264;0.43486458;0.18162815;0.30275184;0.3783138;0.35241875;0.3785076;0.40632713;0.41178417;0.23829073;0.26603943;0.46423534;0.50622016;0.44978335;0.42487055;0.47716618;0.4784034;0.5245132;0.47833365;0.46332237;0.48178056;0.28400403;0.40438947;0.42570582;0.46264982;0.4406141;0.43168238;0.3925837;0.23966278;0.4463725;0.41750354
753.3;0.121133246;0.11467566;0.07685611;0.43907997;0.4385142;0.18370838;0.3037072;0.38033205;0.354272;0.38133526;0.4093642;0.41440982;0.23956183;0.26873705;0.46736175;0.51324016;0.45096096;0.42592838;0.48134258;0.48196998;0.5307918;0.48078623;0.46760815;0.4841124;0.28594157;0.4057501;0.42638212;0.46528432;0.44351372;0.43357474;0.3978069;0.24140556;0.45066163;0.41959524
753.79;0.12114227;0.116444945;0.07764899;0.4389325;0.43824247;0.18441841;0.3046266;0.38473976;0.35604894;0.3839543;0.41228437;0.41869152;0.2396559;0.26985544;0.47351113;0.51529086;0.4554006;0.42829278;0.48524573;0.485374;0.53440607;0.48517695;0.47170338;0.48609242;0.2859002;0.41002962;0.4313466;0.46943837;0.44972634;0.43754366;0.39917925;0.24446829;0.45377618;0.4224272
754.28;0.119319215;0.115097485;0.07655512;0.43967262;0.43955836;0.18278281;0.30401126;0.38535854;0.35814393;0.38459694;0.41192263;0.41942412;0.24005292;0.27134573;0.47277805;0.5178588;0.4585381;0.4299366;0.48887813;0.4892634;0.53426266;0.48515192;0.4718111;0.48958108;0.2868047;0.4108008;0.4333731;0.4685096;0.4508187;0.4388853;0.40080565;0.24417597;0.455514;0.4243366
754.76;0.120941356;0.11672848;0.07709133;0.44007388;0.43904886;0.18404138;0.30404502;0.38496554;0.35924473;0.38656116;0.41478366;0.4207707;0.24130662;0.2717909;0.47629714;0.51841015;0.46170208;0.43568498;0.4884185;0.48816296;0.5390302;0.49136078;0.47364506;0.4917289;0.28844032;0.41235787;0.43609384;0.47255868;0.45136225;0.44171628;0.40253225;0.24555463;0.4573196;0.4270256
755.25;0.12126182;0.11599461;0.07671852;0.43976146;0.4385983;0.18274784;0.30535352;0.38823766;0.35961527;0.38804173;0.41829884;0.42208603;0.24110684;0.27276975;0.47771123;0.52238494;0.4620645;0.43606853;0.49087954;0.49087954;0.54081756;0.49278188;0.4741363;0.4919391;0.28938672;0.413281;0.43615788;0.47619352;0.45470068;0.4424535;0.4042455;0.24579106;0.45953044;0.42654553
755.74;0.12120248;0.11651708;0.077128224;0.44107008;0.43942973;0.18478884;0.30521756;0.39030212;0.36169207;0.39236408;0.42103094;0.4245015;0.24195339;0.27367523;0.4816867;0.5251883;0.46637955;0.43869063;0.49455592;0.49548647;0.54650456;0.49530995;0.47895744;0.4955454;0.2899824;0.41731644;0.4392349;0.47921512;0.45879656;0.4475723;0.4072112;0.24751756;0.46190158;0.42940742
756.23;0.12114255;0.115507446;0.07696432;0.43837476;0.43755433;0.18419302;0.30493423;0.39073703;0.36120075;0.39082044;0.4202746;0.42660677;0.24220002;0.27323207;0.48204738;0.52626336;0.46640706;0.43967795;0.49475053;0.49434856;0.5446547;0.49734327;0.481208;0.49564028;0.29083785;0.41859686;0.43981665;0.4786291;0.46045607;0.44565618;0.4088742;0.24683733;0.46505034;0.43085465
