Name;spectrum_20140711_1722139,csv;spectrum_20140711_1722141,csv;;;;;;;;;;;;;;;;
Time;20140711_1722139;20140711_1722141;;;;Configuración 1;Tolerancia;0,08;;;;;Configuración 2;Tolerancia;0,08;;;
439;0,4476257;0,027530355;;;;;;;;;;;;;;;;
439,46;0,4424032;0,025981212;;;;;;;;;;;;;;;;
439,92;0,4361449;0,02575353;;;;;;;;;;;;;;;;
440,39;0,44157448;0,026385244;;;;;;;;;;;;;;;;
440,85;0,44683063;0,026870158;;;;;;;;;;;;;;;;
441,31;0,4477358;0,026943654;;;;;;;;;;;;;;;;
441,77;0,44475466;0,026638296;;;;;;;;;;;;;;;;
442,23;0,44869244;0,026972316;;;;;;;;;;;;;;;;
442,69;0,45374915;0,027162135;;;;;;;;;;;;;;;;
443,16;0,45721087;0,027082536;;;;;;;;;;;;;;;;
443,62;0,45735162;0,02746997;;;;;;;;;;;;;;;;
444,08;0,45228767;0,027275657;;;;;;;;;;;;;;;;
444,54;0,45652026;0,027296606;;;;;;;;;;;;;;;;
445;0,45455417;0,027040027;;;;;;;;;;;;;;;;
445,47;0,45171088;0,027326189;;;;;;;;;;;;;;;;
445,93;0,44401726;0,026825901;;;;;;;;;;;;;;;;
446,39;0,440463;0,026523715;;;;;;;;;;;;;;;;
446,85;0,43576992;0,026258882;;;;;;;;;;;;;;;;
447,31;0,43674108;0,026070874;;;;;;;;;;;;;;;;
447,78;0,43686667;0,0262091;;;;;;;;;;;;;;;;
448,24;0,43165278;0,026225958;;;;;;;;;;;;;;;;
448,7;0,4378046;0,026207235;;;;;;;;;;;;;;;;
449,16;0,4401066;0,026656648;;;;;;;;;;;;;;;;
449,63;0,43687004;0,026104368;;;;;;;;;;;;;;;;
450,09;0,44727826;0,026949313;;;;;;;;;;;;;;;;
450,55;0,45021334;0,0274587;;;;;;;;;;;;;;;;
451,01;0,45892796;0,027600486;;;;;;;;;;;;;;;;
451,48;0,4723242;0,028476235;;;;;;;;;;;;;;;;
451,94;0,48182407;0,02897343;;;;;;;;;;;;;;;;
452,4;0,4814461;0,029568447;;;;;;;;;;;;;;;;
452,86;0,47704482;0,029288596;;;;;;;;;;;;;;;;
453,33;0,4731537;0,028780742;;;;;;;;;;;;;;;;
453,79;0,46534163;0,028371593;;;;;;;;;;;;;;;;
454,25;0,46171448;0,027958687;;;;;;;;;;;;;;;;
454,71;0,45388028;0,027583558;;;;;;;;;;;;;;;;
455,18;0,46129158;0,028327692;;;;;;;;;;;;;;;;
455,64;0,4610026;0,028040204;;;;;;;;;;;;;;;;
456,1;0,46116605;0,027618077;;;;;;;;;;;;;;;;
456,57;0,45498604;0,027041448;;;;;;;;;;;;;;;;
457,03;0,4609758;0,028386815;;;;;;;;;;;;;;;;
457,49;0,46922272;0,028901286;;;;;;;;;;;;;;;;
457,96;0,4631849;0,028128643;;;;;;;;;;;;;;;;
458,42;0,47480062;0,028770918;;;;;;;;;;;;;;;;
458,88;0,46643463;0,028577063;;;;;;;;;;;;;;;;
459,34;0,46581164;0,028359711;;;;;;;;;;;;;;;;
459,81;0,461787;0,027823534;;;;;;;;;;;;;;;;
460,27;0,45552513;0,027512133;;;;;;;;;;;;;;;;
460,73;0,4547983;0,027539682;;;;;;;;;;;;;;;;
461,2;0,4604463;0,028207352;;;;;;;;;;;;;;;;
461,66;0,4661173;0,028278843;;;;;;;;;;;;;;;;
462,12;0,4699904;0,028571714;;;;;;;;;;;;;;;;
462,59;0,47039548;0,028748374;;;;;;;;;;;;;;;;
463,05;0,48481455;0,029343065;;;;;;;;;;;;;;;;
463,51;0,49078453;0,029934313;;;;;;;;;;;;;;;;
463,98;0,48836908;0,029499218;;;;;;;;;;;;;;;;
464,44;0,49800998;0,0303605;;;;;;;;;;;;;;;;
464,9;0,51124245;0,0310444;;;;;;;;;;;;;;;;
465,37;0,50112593;0,030644532;;;;;;;;;;;;;;;;
465,83;0,5109068;0,031360112;;;;;;;;;;;;;;;;
466,3;0,5150346;0,030855881;;;;;;;;;;;;;;;;
466,76;0,5159645;0,03129192;;;;;;;;;;;;;;;;
467,22;0,51350063;0,030953487;;;;;;;;;;;;;;;;
467,69;0,52442336;0,03166719;;;;;;;;;;;;;;;;
468,15;0,5159853;0,031226907;;;;;;;;;;;;;;;;
468,61;0,5173483;0,03107431;;;;;;;;;;;;;;;;
469,08;0,5247852;0,03184802;;;;;;;;;;;;;;;;
469,54;0,5342022;0,03274459;;;;;;;;;;;;;;;;
470,01;0,53378785;0,032741185;;;;;;;;;;;;;;;;
470,47;0,5294214;0,032265127;;;;;;;;;;;;;;;;
470,93;0,5238896;0,031502586;;;;;;;;;;;;;;;;
471,4;0,51998776;0,03152328;;;;;;;;;;;;;;;;
471,86;0,5273711;0,03170752;;;;;;;;;;;;;;;;
472,33;0,5221047;0,031170906;;;;;;;;;;;;;;;;
472,79;0,5185132;0,031145262;;;;;;;;;;;;;;;;
473,26;0,53944665;0,032459266;;;;;;;;;;;;;;;;
473,72;0,52186865;0,031752136;;;;;;;;;;;;;;;;
474,18;0,52059263;0,031772487;;;;;;;;;;;;;;;;
474,65;0,52644384;0,031530216;;;;;;;;;;;;;;;;
475,11;0,52265406;0,03150114;;;;;;;;;;;;;;;;
475,58;0,5160576;0,030617481;;;;;;;;;;;;;;;;
476,04;0,5202884;0,031359263;;;;;;;;;;;;;;;;
476,51;0,5198869;0,031097028;;;;;;;;;;;;;;;;
476,97;0,5078439;0,030403009;;;;;;;;;;;;;;;;
477,43;0,50449723;0,030703945;;;;;;;;;;;;;;;;
477,9;0,5083784;0,030821102;;;;;;;;;;;;;;;;
478,36;0,5117631;0,030727534;;;;;;;;;;;;;;;;
478,83;0,5123226;0,031096434;;;;;;;;;;;;;;;;
479,29;0,5187097;0,03153037;;;;;;;;;;;;;;;;
479,76;0,51408476;0,031001432;;;;;;;;;;;;;;;;
480,22;0,5074876;0,030592106;;;;;;;;;;;;;;;;
480,69;0,5156328;0,03095231;;;;;;;;;;;;;;;;
481,15;0,529621;0,03228066;;;;;;;;;;;;;;;;
481,62;0,52189976;0,031855036;;;;;;;;;;;;;;;;
482,08;0,5184834;0,031319898;;;;;;;;;;;;;;;;
482,55;0,5453042;0,032442465;;;;;;;;;;;;;;;;
483,01;0,5440945;0,032652248;;;;;;;;;;;;;;;;
483,48;0,55475473;0,033465713;;;;;;;;;;;;;;;;
483,94;0,54022086;0,032799173;;;;;;;;;;;;;;;;
484,41;0,55299336;0,033202715;;;;;;;;;;;;;;;;
484,87;0,57790995;0,034910556;;;;;;;;;;;;;;;;
485,34;0,57760024;0,035000075;;;;;;;;;;;;;;;;
485,8;0,5735783;0,034558833;;;;;;;;;;;;;;;;
486,27;0,55934775;0,033792797;;;;;;;;;;;;;;;;
486,73;0,5525961;0,033203047;;;;;;;;;;;;;;;;
487,2;0,5256328;0,031372387;;;;;;;;;;;;;;;;
487,66;0,5125301;0,030601073;;;;;;;;;;;;;;;;
488,13;0,52211064;0,031500597;;;;;;;;;;;;;;;;
488,59;0,52097183;0,031568673;;;;;;;;;;;;;;;;
489,06;0,5246674;0,031933352;;;;;;;;;;;;;;;;
489,53;0,5285631;0,032124642;;;;;;;;;;;;;;;;
489,99;0,5185277;0,031261716;;;;;;;;;;;;;;;;
490,46;0,5470506;0,03320306;;;;;;;;;;;;;;;;
490,92;0,5551962;0,03325147;;;;;;;;;;;;;;;;
491,39;0,5380469;0,032390784;;;;;;;;;;;;;;;;
491,85;0,53967714;0,032817814;;;;;;;;;;;;;;;;
492,32;0,5439925;0,03292765;;;;;;;;;;;;;;;;
492,78;0,5443722;0,032999165;;;;;;;;;;;;;;;;
493,25;0,52256835;0,031884402;;;;;;;;;;;;;;;;
493,72;0,51979476;0,031070275;;;;;;;;;;;;;;;;
494,18;0,531047;0,032017194;;;;;;;;;;;;;;;;
494,65;0,5314055;0,03241365;;;;;;;;;;;;;;;;
495,11;0,5336291;0,032111306;;;;;;;;;;;;;;;;
495,58;0,5381021;0,032553982;;;;;;;;;;;;;;;;
496,05;0,532785;0,03261641;;;;;;;;;;;;;;;;
496,51;0,54600286;0,032809343;;;;;;;;;;;;;;;;
496,98;0,55266356;0,033536624;;;;;;;;;;;;;;;;
497,44;0,56057197;0,03417588;;;;;;;;;;;;;;;;
497,91;0,55014604;0,033735693;;;;;;;;;;;;;;;;
498,38;0,5574973;0,03429795;;;;;;;;;;;;;;;;
498,84;0,5722057;0,03474563;;;;;;;;;;;;;;;;
499,31;0,572714;0,034871865;;;;;;;;;;;;;;;;
499,78;0,57405055;0,035167772;;;;;;;;;;;;;;;;
500,24;0,58219326;0,035627056;;;;;;;;;;;;;;;;
500,71;0,57368535;0,03462968;;;;;;;;;;;;;;;;
501,17;0,5658448;0,034548856;;;;;;;;;;;;;;;;
501,64;0,5722347;0,03419992;;;;;;;;;;;;;;;;
502,11;0,5727176;0,034833975;;;;;;;;;;;;;;;;
502,57;0,56803536;0,03473086;;;;;;;;;;;;;;;;
503,04;0,5594937;0,033494696;;;;;;;;;;;;;;;;
503,51;0,55783534;0,033333506;;;;;;;;;;;;;;;;
503,97;0,56413376;0,034371898;;;;;;;;;;;;;;;;
504,44;0,5594068;0,034100212;;;;;;;;;;;;;;;;
504,91;0,5544871;0,03373611;;;;;;;;;;;;;;;;
505,37;0,5641247;0,033976957;;;;;;;;;;;;;;;;
505,84;0,55731785;0,03347489;;;;;;;;;;;;;;;;
506,31;0,5655369;0,034263548;;;;;;;;;;;;;;;;
506,77;0,56876296;0,03466874;;;;;;;;;;;;;;;;
507,24;0,56846654;0,034839686;;;;;;;;;;;;;;;;
